episode,mode,seed,success,total_steps,total_depth,total_reward,budget_exhausted,max_total_depth,wall_time_seconds,parse_failure_count,depth_distribution
0,baseline,0,False,5,0,-0.05,False,15,0.0,0,"{""0"": 5, ""1"": 0, ""2"": 0, ""3"": 0}"
1,baseline,1,False,5,0,-0.05,False,15,0.0,0,"{""0"": 5, ""1"": 0, ""2"": 0, ""3"": 0}"
